date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:07:07	191/191	---M-Z	200	added ('OK')	text/plain	etag:%221ac-5dacbb43ae745-gzip%22	https://marinasuvorova.com/robots.txt		(from )
16:07:08	105280/105280	---M-Z	200	added ('OK')	text/html	etag:%2219b40-5e3af0633cde3-gzip%22	https://marinasuvorova.com/	hybridterminal/new%20portfolio/marinasuvorova.com/index.html	(from )
16:07:08	26381/26381	---M-Z	200	added ('OK')	text/css	etag:%22670d-5e3af06337f8a-gzip%22	https://marinasuvorova.com/tilda-blocks-page25740264.min.css?t=1657715745	hybridterminal/new%20portfolio/marinasuvorova.com/tilda-blocks-page25740264.mina1c2.css	(from https://marinasuvorova.com/)
16:07:09	12766/12766	---M-Z	200	added ('OK')	application/javascript	etag:%2231de-5e3af063612ae-gzip%22	https://marinasuvorova.com/tilda-blocks-page25740264.min.js?t=1657715745	hybridterminal/new%20portfolio/marinasuvorova.com/tilda-blocks-page25740264.mina1c2.js	(from https://marinasuvorova.com/)
16:07:10	247894/247894	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%223c856-5e3af0664285e%22	https://marinasuvorova.com/main	hybridterminal/new%20portfolio/marinasuvorova.com/main	(from https://marinasuvorova.com/)
16:07:12	229093/229093	---M-Z	200	added ('OK')	text/html	etag:%2237ee5-5e3af063f1bd1-gzip%22	https://marinasuvorova.com/about	hybridterminal/new%20portfolio/marinasuvorova.com/about.html	(from https://marinasuvorova.com/)
16:07:12	606575/606575	---M-Z	200	added ('OK')	text/html	etag:%229416f-5e3af0657f34f-gzip%22	https://marinasuvorova.com/portfolio	hybridterminal/new%20portfolio/marinasuvorova.com/portfolio.html	(from https://marinasuvorova.com/)
16:07:13	128057/128057	---M-Z	200	added ('OK')	text/html	etag:%221f439-5e3af0647f229-gzip%22	https://marinasuvorova.com/how	hybridterminal/new%20portfolio/marinasuvorova.com/how.html	(from https://marinasuvorova.com/)
16:07:14	151580/151580	---M-Z	200	added ('OK')	text/html	etag:%222501c-5e3af06691923-gzip%22	https://marinasuvorova.com/nft	hybridterminal/new%20portfolio/marinasuvorova.com/nft.html	(from https://marinasuvorova.com/)
16:07:15	93101/93101	---M-Z	200	added ('OK')	text/html	etag:%2216bad-5e3af06448a78-gzip%22	https://marinasuvorova.com/contacts	hybridterminal/new%20portfolio/marinasuvorova.com/contacts.html	(from https://marinasuvorova.com/)
16:07:16	542912/542912	---M-Z	200	added ('OK')	text/html	etag:%22848c0-5e3af063ab385-gzip%22	https://marinasuvorova.com/en	hybridterminal/new%20portfolio/marinasuvorova.com/en.html	(from https://marinasuvorova.com/)
16:07:17	84132/84132	---M-Z	200	added ('OK')	text/html	etag:%22148a4-5e3af065eb8e5-gzip%22	https://marinasuvorova.com/pp	hybridterminal/new%20portfolio/marinasuvorova.com/pp.html	(from https://marinasuvorova.com/)
16:07:18	24584/24584	---M-Z	200	added ('OK')	text/css	etag:%226008-5e3af0640b213-gzip%22	https://marinasuvorova.com/tilda-blocks-page25190243.min.css?t=1657715745	hybridterminal/new%20portfolio/marinasuvorova.com/tilda-blocks-page25190243.mina1c2.css	(from https://marinasuvorova.com/about)
16:07:19	6312/6312	---M-Z	200	added ('OK')	application/javascript	etag:%2218a8-5e3af064179e7-gzip%22	https://marinasuvorova.com/tilda-blocks-page25190243.min.js?t=1657715745	hybridterminal/new%20portfolio/marinasuvorova.com/tilda-blocks-page25190243.mina1c2.js	(from https://marinasuvorova.com/about)
